industry,job_title,skills_required,experience_level,employment_type,posted_date,company_size,tools_preferred,salary_min,country
Automotive,Data Analyst,"['Excel', 'R', 'FastAPI']",Senior,Contract,2024-09-13,Startup,"['Scikit-learn', 'MLflow']",40447,JO
Retail,Computer Vision Engineer,"['Scikit-learn', 'SQL', 'Keras', 'GCP', 'AWS', 'NumPy']",Mid,Remote,2024-09-14,Large,['KDB+'],43986,CU
Automotive,AI Researcher,"['GCP', 'MLflow', 'TensorFlow']",Mid,Internship,2024-09-14,Mid,"['KDB+', 'BigQuery', 'Scikit-learn']",116431,TT
Retail,AI Product Manager,"['Keras', 'Python', 'Reinforcement Learning', 'Scikit-learn']",Mid,Full-time,2024-09-15,Startup,"['KDB+', 'MLflow', 'TensorFlow']",115773,PY
Retail,AI Researcher,"['AWS', 'Hugging Face', 'GCP', 'Power BI', 'Keras']",Mid,Internship,2024-09-15,Large,"['TensorFlow', 'PyTorch', 'FastAPI']",119984,BG
Education,Data Scientist,"['Azure', 'CUDA', 'GCP', 'TensorFlow', 'C++']",Mid,Internship,2024-09-15,Large,"['FastAPI', 'PyTorch', 'BigQuery']",95174,CU
E-commerce,Data Analyst,"['CUDA', 'NumPy', 'Power BI', 'Azure', 'SQL', 'Keras']",Mid,Contract,2024-09-15,Large,['KDB+'],95911,SE
E-commerce,Computer Vision Engineer,"['FastAPI', 'SQL', 'Pandas', 'TensorFlow', 'MLflow']",Mid,Contract,2024-09-15,Large,"['KDB+', 'TensorFlow', 'LangChain']",74357,AZ
Finance,Quant Researcher,"['Excel', 'Pandas', 'NumPy', 'Azure']",Mid,Internship,2024-09-16,Mid,['FastAPI'],115822,TV
Tech,AI Product Manager,"['Keras', 'Azure', 'C++', 'Reinforcement Learning', 'Hugging Face']",Entry,Remote,2024-09-16,Mid,['Scikit-learn'],102033,ET
Finance,ML Engineer,"['CUDA', 'Azure', 'FastAPI', 'Flask']",Mid,Internship,2024-09-16,Mid,"['Scikit-learn', 'BigQuery']",116933,AF
Retail,ML Engineer,"['C++', 'TensorFlow', 'FastAPI', 'AWS', 'Reinforcement Learning']",Senior,Contract,2024-09-17,Startup,"['KDB+', 'PyTorch']",43140,BG
Healthcare,Quant Researcher,"['GCP', 'Python', 'R']",Mid,Remote,2024-09-17,Startup,['LangChain'],115682,TZ
E-commerce,Data Analyst,"['Flask', 'R', 'LangChain', 'NumPy', 'Reinforcement Learning', 'MLflow']",Entry,Contract,2024-09-17,Mid,['BigQuery'],99857,CV
Healthcare,Quant Researcher,"['Flask', 'PyTorch', 'GCP']",Senior,Contract,2024-09-18,Mid,"['LangChain', 'FastAPI', 'TensorFlow']",56567,CF
E-commerce,Computer Vision Engineer,"['Python', 'PyTorch', 'R', 'LangChain']",Mid,Remote,2024-09-20,Large,['TensorFlow'],119974,KG
Tech,AI Researcher,"['Azure', 'Flask', 'PyTorch', 'Excel', 'Pandas']",Mid,Contract,2024-09-20,Startup,"['FastAPI', 'MLflow', 'PyTorch']",132003,PA
Automotive,ML Engineer,"['Scikit-learn', 'Hugging Face', 'TensorFlow']",Entry,Contract,2024-09-21,Startup,"['TensorFlow', 'BigQuery']",80381,AE
Retail,Quant Researcher,"['SQL', 'AWS', 'TensorFlow']",Entry,Full-time,2024-09-21,Mid,['PyTorch'],136800,HU
Tech,Quant Researcher,"['LangChain', 'SQL', 'PyTorch', 'Excel']",Mid,Internship,2024-09-21,Mid,['KDB+'],121727,AE
Automotive,AI Researcher,"['Hugging Face', 'Azure', 'NumPy', 'Scikit-learn', 'Pandas']",Senior,Full-time,2024-09-22,Large,"['PyTorch', 'Scikit-learn', 'FastAPI']",105292,HR
Finance,AI Product Manager,"['PyTorch', 'Hugging Face', 'MLflow', 'R', 'Keras', 'Reinforcement Learning']",Entry,Contract,2024-09-22,Large,"['BigQuery', 'PyTorch', 'TensorFlow']",123318,KE
E-commerce,NLP Engineer,"['TensorFlow', 'NumPy', 'GCP', 'Power BI', 'FastAPI']",Entry,Internship,2024-09-22,Startup,['PyTorch'],147639,MG
Education,Data Analyst,"['PyTorch', 'Python', 'AWS', 'Reinforcement Learning', 'FastAPI', 'CUDA']",Senior,Remote,2024-09-22,Startup,"['KDB+', 'PyTorch', 'FastAPI']",74410,RW
Retail,ML Engineer,"['CUDA', 'Scikit-learn', 'Power BI', 'TensorFlow']",Mid,Full-time,2024-09-22,Mid,"['Scikit-learn', 'MLflow']",117976,HN
E-commerce,Data Analyst,"['Pandas', 'R', 'AWS', 'TensorFlow', 'NumPy', 'Reinforcement Learning']",Mid,Internship,2024-09-22,Startup,"['FastAPI', 'TensorFlow']",117423,AR
E-commerce,NLP Engineer,"['AWS', 'Hugging Face', 'Python', 'Reinforcement Learning', 'Scikit-learn', 'LangChain']",Entry,Internship,2024-09-23,Large,['BigQuery'],111421,KM
Finance,Quant Researcher,"['LangChain', 'Pandas', 'Power BI']",Entry,Remote,2024-09-23,Mid,"['TensorFlow', 'FastAPI']",131912,LR
Education,Data Scientist,"['C++', 'GCP', 'Reinforcement Learning', 'R', 'Python', 'Power BI']",Entry,Full-time,2024-09-23,Startup,"['PyTorch', 'KDB+', 'LangChain']",55605,GM
Automotive,Quant Researcher,"['SQL', 'Azure', 'Reinforcement Learning', 'C++']",Mid,Contract,2024-09-23,Mid,['FastAPI'],89039,LI
Finance,AI Researcher,"['Hugging Face', 'PyTorch', 'Power BI', 'Pandas', 'Flask']",Senior,Remote,2024-09-23,Large,"['MLflow', 'LangChain']",45791,KP
Healthcare,Data Scientist,"['Power BI', 'Python', 'GCP', 'MLflow']",Entry,Remote,2024-09-23,Large,"['BigQuery', 'KDB+', 'MLflow']",106180,SL
Healthcare,AI Product Manager,"['GCP', 'Reinforcement Learning', 'Keras', 'Pandas']",Mid,Remote,2024-09-24,Mid,['FastAPI'],128537,PA
Automotive,AI Product Manager,"['Power BI', 'R', 'C++', 'TensorFlow', 'Python']",Mid,Full-time,2024-09-24,Mid,['Scikit-learn'],45843,MN
Retail,AI Product Manager,"['TensorFlow', 'Excel', 'LangChain']",Senior,Full-time,2024-09-25,Startup,['BigQuery'],116334,SL
Automotive,Data Analyst,"['TensorFlow', 'MLflow', 'C++', 'Flask', 'SQL', 'GCP']",Entry,Internship,2024-09-26,Mid,"['BigQuery', 'MLflow']",125708,FJ
Tech,AI Product Manager,"['LangChain', 'AWS', 'Reinforcement Learning', 'Hugging Face', 'FastAPI']",Entry,Full-time,2024-09-26,Large,"['PyTorch', 'Scikit-learn']",133484,BZ
Tech,ML Engineer,"['TensorFlow', 'Flask', 'AWS', 'Python']",Entry,Internship,2024-09-26,Large,['TensorFlow'],52854,MR
Automotive,Quant Researcher,"['PyTorch', 'Flask', 'Reinforcement Learning', 'Power BI']",Entry,Full-time,2024-09-26,Startup,"['KDB+', 'LangChain']",57249,IQ
Retail,Quant Researcher,"['PyTorch', 'TensorFlow', 'Hugging Face']",Senior,Remote,2024-09-27,Mid,"['MLflow', 'BigQuery', 'KDB+']",143690,FJ
Tech,Computer Vision Engineer,"['TensorFlow', 'SQL', 'NumPy', 'Flask', 'Scikit-learn', 'Hugging Face']",Entry,Contract,2024-09-27,Mid,"['BigQuery', 'Scikit-learn', 'PyTorch']",118416,LB
Education,Quant Researcher,"['GCP', 'Power BI', 'Python', 'Azure', 'Hugging Face', 'CUDA']",Senior,Remote,2024-09-28,Startup,"['LangChain', 'Scikit-learn']",123659,LR
Finance,Computer Vision Engineer,"['Azure', 'R', 'Pandas', 'MLflow', 'TensorFlow', 'Keras']",Mid,Remote,2024-09-28,Mid,"['LangChain', 'TensorFlow']",123819,GT
Automotive,Data Scientist,"['PyTorch', 'SQL', 'Reinforcement Learning', 'MLflow', 'AWS']",Entry,Internship,2024-09-29,Large,['BigQuery'],62157,ST
Education,Computer Vision Engineer,"['C++', 'Pandas', 'Hugging Face', 'SQL', 'LangChain', 'Python']",Senior,Internship,2024-09-29,Mid,['MLflow'],92350,LY
E-commerce,Quant Researcher,"['GCP', 'Power BI', 'FastAPI', 'Reinforcement Learning', 'TensorFlow', 'AWS']",Senior,Remote,2024-09-29,Large,"['LangChain', 'MLflow', 'PyTorch']",130221,GM
E-commerce,NLP Engineer,"['FastAPI', 'LangChain', 'R']",Mid,Remote,2024-09-29,Mid,"['FastAPI', 'KDB+', 'BigQuery']",57442,NZ
Education,NLP Engineer,"['Power BI', 'Hugging Face', 'Keras']",Mid,Internship,2024-09-29,Large,"['LangChain', 'TensorFlow', 'MLflow']",77685,TM
Tech,AI Product Manager,"['Keras', 'PyTorch', 'AWS', 'FastAPI', 'CUDA']",Mid,Contract,2024-09-30,Startup,"['TensorFlow', 'Scikit-learn']",55330,KN
Education,NLP Engineer,"['Azure', 'Excel', 'Power BI', 'SQL']",Entry,Full-time,2024-09-30,Startup,"['Scikit-learn', 'BigQuery', 'MLflow']",56774,VU
E-commerce,Quant Researcher,"['R', 'Flask', 'Power BI']",Entry,Contract,2024-09-30,Large,['TensorFlow'],109244,ZM
Retail,AI Product Manager,"['Excel', 'Keras', 'GCP', 'MLflow']",Senior,Full-time,2024-10-01,Mid,"['BigQuery', 'TensorFlow', 'FastAPI']",122419,CN
Finance,Computer Vision Engineer,"['NumPy', 'C++', 'AWS', 'SQL', 'MLflow']",Senior,Internship,2024-10-02,Mid,"['PyTorch', 'Scikit-learn']",114539,SK
Healthcare,ML Engineer,"['LangChain', 'SQL', 'Reinforcement Learning', 'PyTorch']",Entry,Remote,2024-10-02,Startup,"['Scikit-learn', 'BigQuery']",58091,AT
E-commerce,Quant Researcher,"['Azure', 'Flask', 'TensorFlow']",Mid,Remote,2024-10-02,Mid,['FastAPI'],59784,SB
E-commerce,AI Researcher,"['Hugging Face', 'Flask', 'Pandas', 'SQL', 'TensorFlow']",Entry,Remote,2024-10-03,Startup,"['FastAPI', 'MLflow', 'LangChain']",125075,AF
Healthcare,Data Analyst,"['Scikit-learn', 'Hugging Face', 'LangChain']",Entry,Contract,2024-10-03,Large,"['PyTorch', 'KDB+', 'LangChain']",145486,US
Healthcare,Computer Vision Engineer,"['CUDA', 'Pandas', 'Scikit-learn', 'LangChain', 'Azure', 'FastAPI']",Mid,Internship,2024-10-04,Startup,"['MLflow', 'KDB+', 'PyTorch']",73444,MH
Retail,AI Product Manager,"['FastAPI', 'MLflow', 'Pandas', 'Hugging Face', 'GCP', 'C++']",Mid,Remote,2024-10-06,Startup,"['FastAPI', 'MLflow', 'Scikit-learn']",91662,HT
Finance,Data Scientist,"['R', 'NumPy', 'Hugging Face', 'TensorFlow']",Senior,Internship,2024-10-06,Startup,['KDB+'],86191,ET
Automotive,Quant Researcher,"['SQL', 'GCP', 'Excel', 'CUDA', 'R']",Entry,Remote,2024-10-06,Startup,"['BigQuery', 'KDB+']",94512,AZ
Retail,Data Scientist,"['TensorFlow', 'Azure', 'C++', 'Scikit-learn', 'Python', 'Flask']",Entry,Full-time,2024-10-06,Startup,"['Scikit-learn', 'FastAPI', 'BigQuery']",149747,PA
Retail,Data Scientist,"['NumPy', 'LangChain', 'FastAPI']",Entry,Contract,2024-10-06,Startup,"['LangChain', 'FastAPI']",77346,ES
Automotive,AI Product Manager,"['LangChain', 'R', 'Hugging Face', 'Scikit-learn']",Mid,Remote,2024-10-07,Mid,"['TensorFlow', 'BigQuery', 'KDB+']",86874,BI
Retail,NLP Engineer,"['GCP', 'Keras', 'Flask', 'LangChain', 'TensorFlow', 'Python']",Entry,Full-time,2024-10-07,Mid,['BigQuery'],132044,PL
Retail,AI Researcher,"['SQL', 'Excel', 'Python']",Mid,Remote,2024-10-08,Mid,"['Scikit-learn', 'MLflow']",124112,GT
Finance,Computer Vision Engineer,"['Azure', 'TensorFlow', 'PyTorch', 'AWS', 'Flask']",Senior,Contract,2024-10-08,Startup,"['KDB+', 'MLflow']",98592,CU
Automotive,Data Analyst,"['R', 'Reinforcement Learning', 'Scikit-learn', 'PyTorch', 'GCP']",Entry,Remote,2024-10-08,Mid,"['BigQuery', 'TensorFlow', 'FastAPI']",141494,SY
Finance,NLP Engineer,"['C++', 'Pandas', 'FastAPI', 'MLflow', 'Excel']",Entry,Internship,2024-10-08,Large,['TensorFlow'],44826,NG
Education,ML Engineer,"['Hugging Face', 'Azure', 'C++', 'Reinforcement Learning']",Mid,Internship,2024-10-08,Mid,"['BigQuery', 'PyTorch', 'FastAPI']",92763,MM
Tech,AI Researcher,"['Flask', 'Scikit-learn', 'FastAPI', 'CUDA', 'Azure']",Mid,Internship,2024-10-08,Large,"['BigQuery', 'LangChain']",114948,PT
Healthcare,ML Engineer,"['Hugging Face', 'Python', 'FastAPI', 'CUDA', 'GCP']",Entry,Full-time,2024-10-10,Mid,"['LangChain', 'BigQuery']",111746,AM
Education,ML Engineer,"['LangChain', 'Python', 'AWS']",Entry,Full-time,2024-10-10,Large,"['PyTorch', 'LangChain', 'KDB+']",48928,MY
Education,ML Engineer,"['C++', 'Hugging Face', 'Excel', 'GCP', 'TensorFlow', 'FastAPI']",Mid,Contract,2024-10-10,Mid,"['KDB+', 'MLflow']",63255,BS
E-commerce,Data Analyst,"['Excel', 'Power BI', 'C++', 'CUDA', 'Flask']",Senior,Contract,2024-10-10,Mid,"['FastAPI', 'MLflow', 'PyTorch']",71169,SO
Retail,AI Researcher,"['Keras', 'Scikit-learn', 'Pandas']",Mid,Remote,2024-10-11,Mid,"['BigQuery', 'PyTorch', 'MLflow']",67231,VE
Automotive,NLP Engineer,"['CUDA', 'Pandas', 'Scikit-learn']",Mid,Full-time,2024-10-11,Large,"['MLflow', 'KDB+']",146084,SC
Tech,Quant Researcher,"['Reinforcement Learning', 'Flask', 'NumPy', 'LangChain']",Entry,Contract,2024-10-12,Startup,['LangChain'],88756,IR
Education,Quant Researcher,"['MLflow', 'Keras', 'TensorFlow', 'CUDA', 'Flask']",Entry,Remote,2024-10-12,Mid,"['Scikit-learn', 'PyTorch']",74954,AT
Retail,Quant Researcher,"['SQL', 'R', 'Keras']",Mid,Remote,2024-10-12,Large,"['KDB+', 'MLflow']",48593,CH
Automotive,Quant Researcher,"['Reinforcement Learning', 'Power BI', 'SQL', 'MLflow', 'Excel', 'Scikit-learn']",Entry,Contract,2024-10-12,Startup,"['Scikit-learn', 'MLflow']",126011,IT
E-commerce,AI Researcher,"['Pandas', 'Excel', 'R', 'AWS']",Senior,Remote,2024-10-12,Startup,"['PyTorch', 'FastAPI']",94861,FI
Tech,ML Engineer,"['AWS', 'Azure', 'Python', 'R', 'Scikit-learn', 'GCP']",Senior,Internship,2024-10-12,Large,"['BigQuery', 'TensorFlow', 'LangChain']",75187,HR
Automotive,NLP Engineer,"['SQL', 'MLflow', 'Power BI', 'FastAPI', 'NumPy']",Senior,Full-time,2024-10-13,Startup,"['FastAPI', 'BigQuery', 'MLflow']",115657,MA
Tech,Quant Researcher,"['SQL', 'Hugging Face', 'Keras', 'AWS', 'MLflow', 'R']",Mid,Internship,2024-10-13,Startup,"['LangChain', 'PyTorch', 'FastAPI']",94799,HR
Finance,ML Engineer,"['LangChain', 'Reinforcement Learning', 'CUDA', 'R', 'SQL', 'Excel']",Senior,Internship,2024-10-13,Mid,['KDB+'],48914,AZ
Retail,Quant Researcher,"['Excel', 'CUDA', 'Reinforcement Learning']",Mid,Full-time,2024-10-13,Startup,"['TensorFlow', 'LangChain', 'PyTorch']",129844,SE
Finance,ML Engineer,"['SQL', 'Power BI', 'Reinforcement Learning', 'Keras']",Mid,Contract,2024-10-13,Large,"['Scikit-learn', 'TensorFlow', 'FastAPI']",85447,CR
Tech,ML Engineer,"['NumPy', 'Python', 'SQL', 'CUDA', 'Hugging Face']",Entry,Internship,2024-10-14,Mid,"['FastAPI', 'BigQuery']",86924,MU
Automotive,AI Product Manager,"['NumPy', 'Reinforcement Learning', 'GCP', 'Azure', 'LangChain', 'Scikit-learn']",Entry,Remote,2024-10-14,Mid,"['KDB+', 'TensorFlow', 'LangChain']",51986,IN
Healthcare,AI Product Manager,"['Power BI', 'C++', 'NumPy']",Senior,Internship,2024-10-15,Large,"['PyTorch', 'BigQuery']",66964,KI
Retail,Quant Researcher,"['Power BI', 'LangChain', 'FastAPI', 'Flask', 'SQL', 'Scikit-learn']",Mid,Contract,2024-10-15,Startup,"['BigQuery', 'MLflow', 'TensorFlow']",102584,AL
Healthcare,Data Analyst,"['SQL', 'Excel', 'LangChain', 'MLflow', 'Scikit-learn', 'Python']",Senior,Internship,2024-10-15,Large,"['BigQuery', 'PyTorch']",119299,MH
E-commerce,Data Scientist,"['C++', 'AWS', 'MLflow']",Senior,Remote,2024-10-16,Startup,['LangChain'],84124,TZ
Tech,ML Engineer,"['Scikit-learn', 'AWS', 'CUDA', 'Azure', 'Hugging Face']",Senior,Full-time,2024-10-16,Startup,"['FastAPI', 'TensorFlow', 'LangChain']",53336,SM
Education,Quant Researcher,"['LangChain', 'SQL', 'Reinforcement Learning']",Senior,Internship,2024-10-16,Startup,"['PyTorch', 'LangChain', 'KDB+']",127698,NZ
Retail,ML Engineer,"['CUDA', 'FastAPI', 'Power BI']",Senior,Internship,2024-10-17,Mid,"['FastAPI', 'LangChain']",112953,VA
Healthcare,AI Product Manager,"['C++', 'AWS', 'SQL']",Mid,Remote,2024-10-17,Startup,"['LangChain', 'Scikit-learn', 'MLflow']",76958,RW
Healthcare,ML Engineer,"['Reinforcement Learning', 'Flask', 'NumPy', 'Keras']",Entry,Internship,2024-10-17,Startup,"['MLflow', 'PyTorch', 'FastAPI']",147220,NR
Tech,AI Researcher,"['PyTorch', 'Scikit-learn', 'Azure', 'LangChain']",Mid,Internship,2024-10-17,Large,['MLflow'],149051,SO
Automotive,Data Analyst,"['FastAPI', 'Reinforcement Learning', 'Hugging Face', 'GCP', 'R']",Entry,Internship,2024-10-18,Mid,['TensorFlow'],46318,MG
Education,Quant Researcher,"['R', 'Pandas', 'TensorFlow']",Senior,Internship,2024-10-18,Mid,"['TensorFlow', 'LangChain']",110751,PH
Healthcare,Data Scientist,"['AWS', 'Azure', 'Power BI', 'CUDA', 'Reinforcement Learning', 'Hugging Face']",Senior,Remote,2024-10-19,Mid,"['BigQuery', 'FastAPI', 'KDB+']",100845,CA
Education,AI Researcher,"['NumPy', 'GCP', 'AWS', 'Python', 'Keras']",Senior,Contract,2024-10-19,Startup,"['Scikit-learn', 'TensorFlow', 'KDB+']",104105,BZ
Finance,Computer Vision Engineer,"['NumPy', 'Pandas', 'Reinforcement Learning']",Entry,Full-time,2024-10-19,Startup,"['PyTorch', 'Scikit-learn', 'TensorFlow']",81873,TR
Education,AI Researcher,"['NumPy', 'C++', 'Flask', 'AWS', 'Power BI']",Entry,Internship,2024-10-19,Startup,"['MLflow', 'LangChain', 'Scikit-learn']",112925,MK
E-commerce,AI Product Manager,"['GCP', 'SQL', 'LangChain', 'R']",Mid,Remote,2024-10-19,Startup,"['FastAPI', 'BigQuery']",131293,NI
E-commerce,NLP Engineer,"['LangChain', 'Power BI', 'PyTorch', 'Pandas']",Entry,Contract,2024-10-20,Startup,['PyTorch'],84913,TO
E-commerce,Data Analyst,"['NumPy', 'R', 'MLflow', 'C++', 'FastAPI']",Entry,Contract,2024-10-21,Large,['BigQuery'],121357,GN
Automotive,Data Scientist,"['GCP', 'Excel', 'CUDA']",Mid,Full-time,2024-10-21,Large,"['MLflow', 'LangChain', 'KDB+']",71373,UY
Automotive,Data Scientist,"['NumPy', 'Excel', 'LangChain']",Entry,Contract,2024-10-21,Mid,"['MLflow', 'Scikit-learn', 'FastAPI']",123940,ST
Tech,Data Analyst,"['Flask', 'Reinforcement Learning', 'Pandas', 'CUDA', 'Azure']",Mid,Internship,2024-10-21,Large,"['LangChain', 'Scikit-learn', 'FastAPI']",47206,FI
Finance,ML Engineer,"['Flask', 'MLflow', 'Scikit-learn']",Senior,Internship,2024-10-21,Large,"['Scikit-learn', 'FastAPI']",50076,GQ
Automotive,Data Analyst,"['LangChain', 'Power BI', 'AWS', 'TensorFlow']",Mid,Contract,2024-10-21,Startup,['MLflow'],53641,FI
Education,ML Engineer,"['Python', 'Excel', 'FastAPI', 'PyTorch', 'LangChain', 'GCP']",Mid,Internship,2024-10-21,Mid,"['BigQuery', 'MLflow', 'Scikit-learn']",52748,MD
Education,Data Analyst,"['SQL', 'TensorFlow', 'AWS', 'Reinforcement Learning', 'GCP', 'NumPy']",Senior,Remote,2024-10-22,Large,['PyTorch'],69887,JO
Finance,AI Product Manager,"['AWS', 'LangChain', 'FastAPI', 'C++', 'Python', 'CUDA']",Entry,Full-time,2024-10-22,Startup,"['PyTorch', 'TensorFlow', 'LangChain']",139966,JO
Retail,AI Researcher,"['Power BI', 'C++', 'Excel', 'PyTorch', 'Pandas']",Mid,Contract,2024-10-23,Mid,"['MLflow', 'LangChain', 'Scikit-learn']",83481,VU
Healthcare,ML Engineer,"['MLflow', 'AWS', 'Flask', 'SQL', 'Azure']",Entry,Full-time,2024-10-23,Mid,"['LangChain', 'KDB+']",130398,AO
Retail,Quant Researcher,"['FastAPI', 'Scikit-learn', 'LangChain']",Entry,Full-time,2024-10-23,Startup,"['FastAPI', 'MLflow']",143586,IE
Education,Data Analyst,"['Python', 'SQL', 'PyTorch']",Senior,Internship,2024-10-23,Startup,"['Scikit-learn', 'MLflow']",69719,MM
E-commerce,Quant Researcher,"['TensorFlow', 'C++', 'Excel', 'FastAPI', 'Pandas']",Entry,Internship,2024-10-23,Mid,['PyTorch'],137105,CH
E-commerce,Data Scientist,"['Reinforcement Learning', 'Hugging Face', 'GCP', 'Excel', 'MLflow', 'CUDA']",Senior,Contract,2024-10-24,Large,['MLflow'],56274,HR
Retail,Computer Vision Engineer,"['Scikit-learn', 'LangChain', 'MLflow', 'FastAPI']",Entry,Full-time,2024-10-24,Large,"['KDB+', 'FastAPI']",44261,BO
Retail,Computer Vision Engineer,"['LangChain', 'Pandas', 'TensorFlow', 'CUDA']",Mid,Remote,2024-10-24,Mid,"['LangChain', 'KDB+']",64726,TM
Education,Data Analyst,"['Python', 'Azure', 'CUDA', 'NumPy', 'Power BI']",Senior,Contract,2024-10-24,Large,"['FastAPI', 'KDB+']",74164,BJ
Finance,AI Researcher,"['TensorFlow', 'CUDA', 'Reinforcement Learning', 'GCP', 'Excel']",Entry,Internship,2024-10-24,Mid,['PyTorch'],116702,SN
Automotive,Data Scientist,"['FastAPI', 'Excel', 'Pandas']",Mid,Full-time,2024-10-24,Large,"['Scikit-learn', 'TensorFlow']",108653,BT
E-commerce,NLP Engineer,"['Reinforcement Learning', 'Pandas', 'NumPy', 'FastAPI']",Entry,Full-time,2024-10-25,Mid,['TensorFlow'],99742,PA
Education,AI Product Manager,"['FastAPI', 'Excel', 'AWS', 'LangChain', 'Python']",Entry,Contract,2024-10-25,Startup,"['KDB+', 'MLflow']",81090,TW
Finance,Data Scientist,"['Reinforcement Learning', 'Pandas', 'Flask']",Senior,Internship,2024-10-25,Mid,"['PyTorch', 'FastAPI', 'TensorFlow']",46024,IT
Retail,Computer Vision Engineer,"['Hugging Face', 'Keras', 'Scikit-learn']",Mid,Internship,2024-10-26,Large,"['TensorFlow', 'LangChain']",97883,NO
Tech,Data Analyst,"['TensorFlow', 'GCP', 'Power BI', 'FastAPI', 'Pandas', 'R']",Entry,Remote,2024-10-26,Mid,['LangChain'],115727,MU
Education,Data Analyst,"['NumPy', 'Excel', 'LangChain', 'PyTorch', 'AWS', 'Power BI']",Mid,Full-time,2024-10-26,Large,"['MLflow', 'TensorFlow']",94017,SG
Tech,AI Product Manager,"['Python', 'Power BI', 'GCP']",Entry,Internship,2024-10-26,Mid,['LangChain'],59665,SV
Healthcare,NLP Engineer,"['Keras', 'Power BI', 'Excel', 'Python']",Senior,Remote,2024-10-27,Mid,['MLflow'],72000,PE
Education,AI Researcher,"['AWS', 'LangChain', 'Python', 'PyTorch', 'R']",Mid,Full-time,2024-10-27,Startup,"['Scikit-learn', 'BigQuery']",69114,CY
Finance,Computer Vision Engineer,"['NumPy', 'TensorFlow', 'Reinforcement Learning', 'Keras']",Entry,Full-time,2024-10-27,Startup,"['BigQuery', 'TensorFlow', 'PyTorch']",66493,NZ
Tech,Data Analyst,"['NumPy', 'R', 'Power BI', 'CUDA']",Mid,Internship,2024-10-28,Mid,"['MLflow', 'LangChain', 'FastAPI']",79611,UY
E-commerce,ML Engineer,"['Excel', 'Pandas', 'CUDA']",Mid,Full-time,2024-10-28,Startup,['PyTorch'],129492,EG
Retail,ML Engineer,"['TensorFlow', 'LangChain', 'Hugging Face']",Senior,Internship,2024-10-28,Large,"['Scikit-learn', 'KDB+', 'FastAPI']",146465,NA
Retail,Data Scientist,"['Scikit-learn', 'NumPy', 'Reinforcement Learning', 'C++', 'LangChain']",Mid,Contract,2024-10-28,Startup,"['BigQuery', 'TensorFlow']",108484,BS
Education,ML Engineer,"['NumPy', 'GCP', 'SQL', 'CUDA', 'PyTorch']",Mid,Internship,2024-10-28,Mid,"['BigQuery', 'MLflow', 'TensorFlow']",116734,BZ
Finance,Data Analyst,"['Reinforcement Learning', 'LangChain', 'MLflow', 'Hugging Face', 'NumPy', 'Python']",Entry,Full-time,2024-10-30,Startup,['MLflow'],138115,SA
Retail,Data Analyst,"['Power BI', 'GCP', 'NumPy']",Senior,Full-time,2024-10-31,Mid,"['LangChain', 'MLflow']",41311,AO
E-commerce,Computer Vision Engineer,"['FastAPI', 'SQL', 'Flask', 'CUDA', 'C++', 'Scikit-learn']",Mid,Contract,2024-11-01,Startup,"['FastAPI', 'LangChain']",42962,RU
E-commerce,ML Engineer,"['SQL', 'NumPy', 'Scikit-learn']",Entry,Full-time,2024-11-02,Large,"['TensorFlow', 'LangChain']",108359,NE
Education,Computer Vision Engineer,"['Hugging Face', 'Flask', 'Power BI', 'Pandas', 'Excel']",Senior,Full-time,2024-11-02,Startup,['Scikit-learn'],118063,SC
Retail,AI Product Manager,"['CUDA', 'PyTorch', 'Reinforcement Learning', 'NumPy', 'AWS']",Senior,Contract,2024-11-02,Large,"['TensorFlow', 'Scikit-learn']",81604,US
Retail,NLP Engineer,"['Hugging Face', 'FastAPI', 'Python', 'NumPy']",Senior,Contract,2024-11-03,Mid,"['Scikit-learn', 'TensorFlow', 'MLflow']",133128,PY
Education,AI Product Manager,"['C++', 'Power BI', 'LangChain', 'Azure', 'Pandas', 'TensorFlow']",Mid,Full-time,2024-11-03,Large,"['MLflow', 'BigQuery', 'PyTorch']",81542,IE
Automotive,Computer Vision Engineer,"['MLflow', 'Scikit-learn', 'TensorFlow', 'Azure', 'SQL', 'R']",Entry,Full-time,2024-11-03,Startup,['BigQuery'],141467,CR
E-commerce,ML Engineer,"['CUDA', 'Power BI', 'AWS', 'FastAPI', 'C++']",Senior,Internship,2024-11-04,Mid,['TensorFlow'],141909,JM
Tech,AI Product Manager,"['SQL', 'CUDA', 'Flask', 'MLflow', 'TensorFlow']",Mid,Full-time,2024-11-04,Mid,"['Scikit-learn', 'FastAPI', 'LangChain']",95461,IQ
E-commerce,Data Scientist,"['C++', 'Python', 'R']",Senior,Internship,2024-11-04,Mid,['BigQuery'],130661,LU
Finance,NLP Engineer,"['Hugging Face', 'SQL', 'Azure', 'LangChain', 'AWS', 'NumPy']",Senior,Remote,2024-11-05,Mid,"['BigQuery', 'TensorFlow']",146642,LR
Automotive,Data Scientist,"['CUDA', 'TensorFlow', 'Python', 'Azure', 'Scikit-learn']",Entry,Internship,2024-11-05,Startup,['FastAPI'],127708,LI
Education,AI Researcher,"['FastAPI', 'Azure', 'NumPy', 'GCP', 'Flask']",Mid,Internship,2024-11-05,Large,['FastAPI'],44966,ME
Automotive,ML Engineer,"['PyTorch', 'Reinforcement Learning', 'Azure', 'Python', 'AWS', 'Hugging Face']",Mid,Contract,2024-11-06,Mid,"['FastAPI', 'LangChain', 'TensorFlow']",51999,IN
